YEAR;CULTURAL_SPACE_NAME;WEBSITE;TYPE;PRIMARY_USE;ADDRESS;LOCAL_AREA;OWNERSHIP;SQUARE_FEET;NUMBER_OF_SEATS;ACTIVE_SPACE;Geom;geo_point_2d
2017;Douglas Reynolds Gallery;www.douglasreynoldsgallery.com;Museum/Gallery;Museum/Gallery;2335 Granville St, Vancouver, BC, V6H 3G4;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1385998, 49.2648423], ""type"": ""Point""}";49.2648423, -123.1385998
2017;Gallery 295;http://gallery295.com/295/;Museum/Gallery;Museum/Gallery;295 E 2nd Av, Vancouver, BC, V5T 1B8;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.0981191, 49.2680645], ""type"": ""Point""}";49.2680645, -123.0981191
2017;Hatch Art Gallery;http://www.ams.ubc.ca/nest/arts-and-attractions/art-gallery/;Museum/Gallery;Museum/Gallery;6133 University Blvd, Vancouver, BC, V6T 1Z1;UBC;Non-Profit;12500;;Yes;"{""coordinates"": [-123.249913, 49.266025], ""type"": ""Point""}";49.266025, -123.249913
2017;James Tan Gallery;http://www.jamestan.com/home.htm;Museum/Gallery;Museum/Gallery;437 Columbia St, Vancouver, BC, V6A 2R9;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1023067, 49.2810853], ""type"": ""Point""}";49.2810853, -123.1023067
2017;Lattimer Gallery;www.lattimergallery.com?;Museum/Gallery;Museum/Gallery;1590 W 2nd Av, Vancouver, BC, V6J 1H2;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1406592, 49.2696829], ""type"": ""Point""}";49.2696829, -123.1406592
2017;Make Gallery;http://makeisawesome.com/;Museum/Gallery;Museum/Gallery;257 E 7th Av, Vancouver, BC, V5T 0B4;Mount Pleasant;Privately Owned;1000;;Yes;"{""coordinates"": [-123.0992862, 49.2646046], ""type"": ""Point""}";49.2646046, -123.0992862
2017;MakerLabs;www.makerlabs.ca;Studio/Rehearsal;Workshop;780 E Cordova St, Vancouver, BC, V6A1M3;Strathcona;Privately Owned;26000;300;Yes;"{""coordinates"": [-123.087695, 49.2818014], ""type"": ""Point""}";49.2818014, -123.087695
2017;Rio Theatre;www.riotheatre.ca?;Theatre/Performance;Cinema;1660 E Broadway, Vancouver, BC, V5N 1W1;Kensington-Cedar Cottage;Privately Owned;;420;Yes;"{""coordinates"": [-123.0704852, 49.2620042], ""type"": ""Point""}";49.2620042, -123.0704852
2017;Roedde House;www.roeddehouse.org;Museum/Gallery;Museum/Gallery;1415 Barclay St, Vancouver, BC, V6G 1J6;West End;City of Vancouver;1641;35;Yes;"{""coordinates"": [-123.132187, 49.286863], ""type"": ""Point""}";49.286863, -123.132187
2017;Teck Gallery;https://www.sfu.ca/galleries/teck-gallery.html;Museum/Gallery;Museum/Gallery;515 W Hastings St, Vancouver, BC, V6B 0B2;Downtown;Privately Owned;625;;Yes;"{""coordinates"": [-123.1119735, 49.2841655], ""type"": ""Point""}";49.2841655, -123.1119735
2017;Vancouver Art Gallery North Plaza;;Community Space;Plaza/Park/Band Shell;850 W Georgia St, Vancouver, BC, V6Z 2H7;Downtown;City of Vancouver;;;Yes;"{""coordinates"": [-123.119848, 49.283113], ""type"": ""Point""}";49.283113, -123.119848
2016;Artstarts in Schools;www.artstarts.com;Museum/Gallery;Museum/Gallery;808 Richards St, Vancouver, BC, V6B 3A7;Downtown;Privately Owned;6000;;Yes;"{""coordinates"": [-123.1179808, 49.2799985], ""type"": ""Point""}";49.2799985, -123.1179808
2016;BAF Studio;http://www.burrardarts.org/about.html;Museum/Gallery;Museum/Gallery;108 E Broadway Av, Vancouver, BC, V5T 1V9;Mount Pleasant;Privately Owned;2000;;Yes;"{""coordinates"": [-123.102505, 49.262669], ""type"": ""Point""}";49.262669, -123.102505
2016;Basic Inquiry;http://www.lifedrawing.org/index.html;Museum/Gallery;Museum/Gallery;1011 Main St, Vancouver, BC, V6A 4L4;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1000334, 49.2758184], ""type"": ""Point""}";49.2758184, -123.1000334
2016;Bau-Xi Gallery;www.bau-xi.com;Museum/Gallery;Museum/Gallery;3045 Granville St, Vancouver, BC, V6H 3J9;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1391799, 49.258496], ""type"": ""Point""}";49.258496, -123.1391799
2016;David Lam Park;;Community Space;Plaza/Park/Band Shell;1300 Pacific Blvd, Vancouver, BC, V6Z 2V1;Downtown;City of Vancouver;467154;;Yes;"{""coordinates"": [-123.1241736, 49.2724252], ""type"": ""Point""}";49.2724252, -123.1241736
2016;Douglas Udell Gallery;www.douglasudellgallery.com?;Museum/Gallery;Museum/Gallery;1558 W 6th Av, Vancouver, BC, V6J 1R2;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1399725, 49.2661804], ""type"": ""Point""}";49.2661804, -123.1399725
2016;Dr. Sun Yat-Sen Classical Chinese Garden;www.vancouverchinesegarden.com?;Museum/Gallery;Garden/Aquarium/Science Centre;578 Carrall St, Vancouver, BC, V6B 5K2;Downtown;City of Vancouver;5500;;Yes;"{""coordinates"": [-123.104168, 49.279983], ""type"": ""Point""}";49.279983, -123.104168
2016;Equinox Gallery;www.equinoxgallery.com;Museum/Gallery;Museum/Gallery;525 Great Northern Way, Vancouver, BC, V5T 1E1;Strathcona;Privately Owned;14000;;Yes;"{""coordinates"": [-123.09226, 49.267609], ""type"": ""Point""}";49.267609, -123.09226
2016;Gallery 295;http://gallery295.com/295/;Museum/Gallery;Museum/Gallery;295 E 2nd Ave, Vancouver, BC, V5T 1B8;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.0981191, 49.2680645], ""type"": ""Point""}";49.2680645, -123.0981191
2016;Granville Street/ Entertainment District;;Community Space;Plaza/Park/Band Shell;Vancouver, BC;Downtown;City of Vancouver;;;Yes;"{""coordinates"": [-123.11966, 49.281457], ""type"": ""Point""}";49.281457, -123.11966
2016;Harrison Galleries;www.harrisongalleries.com;Museum/Gallery;Museum/Gallery;901 Homer St, Vancouver, BC, V6B 2W6;Downtown;Privately Owned;4500;;Yes;"{""coordinates"": [-123.1184779, 49.2784569], ""type"": ""Point""}";49.2784569, -123.1184779
2016;Jericho Beach;;Community Space;Plaza/Park/Band Shell;3941 Point Grey Rd., Vancouver, BC, V6R 1B5;West Point Grey;City of Vancouver;250799;;Yes;"{""coordinates"": [-123.1912389, 49.2711948], ""type"": ""Point""}";49.2711948, -123.1912389
2016;Labyrinth Gallery;http://labyrinthgallery.org/;Museum/Gallery;Museum/Gallery;112 E Hastings St, Vancouver, BC, V6A 4J1;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1017894, 49.2810651], ""type"": ""Point""}";49.2810651, -123.1017894
2016;Little Mountain Gallery;www.littlemountaingallery.com;Museum/Gallery;Museum/Gallery;195 E 26th Av, Vancouver, BC, V5V 2G8;Riley Park;Privately Owned;;;Yes;"{""coordinates"": [-123.1014023, 49.2480158], ""type"": ""Point""}";49.2480158, -123.1014023
2016;Make Gallery;http://makeisawesome.com/;Museum/Gallery;Museum/Gallery;257 E 7th Av, Vancouver, BC, V5T 0B4;Mount Pleasant;Privately Owned;1000;;Yes;"{""coordinates"": [-123.0992862, 49.2646046], ""type"": ""Point""}";49.2646046, -123.0992862
2016;Marion Scott Gallery;www.marionscottgallery.com;Museum/Gallery;Museum/Gallery;2423 Granville St, Vancouver, BC, V6H 3G5;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1386272, 49.264079], ""type"": ""Point""}";49.264079, -123.1386272
2016;Or Gallery;www.orgallery.org?;Museum/Gallery;Museum/Gallery;555 Hamilton St, Vancouver, BC, V6B 2R1;Downtown;Privately Owned;2043;;Yes;"{""coordinates"": [-123.112094, 49.281406], ""type"": ""Point""}";49.281406, -123.112094
2016;Pendulum Gallery;www.pendulumgallery.bc.ca?;Museum/Gallery;Museum/Gallery;885 W Georgia St, Vancouver, BC, V6C 3E8;Downtown;Privately Owned;2200;;Yes;"{""coordinates"": [-123.119963, 49.283709], ""type"": ""Point""}";49.283709, -123.119963
2016;Queen Elizabeth Theatre Plaza;;Community Space;Plaza/Park/Band Shell;650 Hamilton St, Vancouver, BC, V6B 5N6;Downtown;City of Vancouver;23690;;Yes;"{""coordinates"": [-123.113393, 49.27994], ""type"": ""Point""}";49.27994, -123.113393
2016;Science World At Telus World Of Science;www.scienceworld.ca?;Museum/Gallery;Garden/Aquarium/Science Centre;1455 Quebec St, Vancouver, BC, V6A 3Z7;Downtown;Government;170000;600;Yes;"{""coordinates"": [-123.103652, 49.273743], ""type"": ""Point""}";49.273743, -123.103652
2016;Semi-Public (221A);http://221a.ca/;Community Space;Plaza/Park/Band Shell;271 Union St, Vancouver, BC, V6A 2B2;Strathcona;Privately Owned;3000;;Yes;"{""coordinates"": [-123.0974061, 49.2778745], ""type"": ""Point""}";49.2778745, -123.0974061
2016;Teck Gallery;https://www.sfu.ca/galleries/teck-gallery.html;Museum/Gallery;Museum/Gallery;515 W Hastings St, Vancouver, BC, V6B 0B2;Downtown;Privately Owned;625;;Yes;"{""coordinates"": [-123.1119735, 49.2841655], ""type"": ""Point""}";49.2841655, -123.1119735
2016;Van Dusen Botanical Garden;http://vandusengarden.org/;Museum/Gallery;Garden/Aquarium/Science Centre;5251 Oak St, Vancouver, BC, V6M 4H1;Shaughnessy;City of Vancouver;2368060;;Yes;"{""coordinates"": [-123.128627, 49.238472], ""type"": ""Point""}";49.238472, -123.128627
2016;Vancity Theatre;http://www.viff.org/theatre/facility-info;Theatre/Performance;Cinema;1181 Seymour St, Vancouver, BC, V6B 3M7;Downtown;Privately Owned;650;170;Yes;"{""coordinates"": [-123.124732, 49.276974], ""type"": ""Point""}";49.276974, -123.124732
2016;Vancouver Community Laboratory;http://vancommunitylab.com/;Studio/Rehearsal;Workshop;1907 Triumph St, Vancouver, BC, V5L 1K6;Grandview-Woodland;;5000;;Yes;"{""coordinates"": [-123.0652956, 49.2841727], ""type"": ""Point""}";49.2841727, -123.0652956
2016;Writers' Exchange;;Studio/Rehearsal;Workshop;881 E Hastings St, Vancouver, BC, V6A 1R8;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.0853822, 49.2811097], ""type"": ""Point""}";49.2811097, -123.0853822
2015;Creekside Park;;Community Space;Plaza/Park/Band Shell;1455 Quebec St, Vancouver, BC, V6A 3Z7;Downtown;City of Vancouver;177518;;Yes;"{""coordinates"": [-123.10319, 49.274159], ""type"": ""Point""}";49.274159, -123.10319
2015;Douglas Reynolds Gallery;www.douglasreynoldsgallery.com;Museum/Gallery;Museum/Gallery;2335 Granville St, Vancouver, BC, V6H 3G4;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1385998, 49.2648423], ""type"": ""Point""}";49.2648423, -123.1385998
2015;Gallery Jones;www.galleryjones.com?;Museum/Gallery;Museum/Gallery;1725 W 3rd Av, Vancouver, BC, V6J 1K7;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1438197, 49.2689012], ""type"": ""Point""}";49.2689012, -123.1438197
2015;Hastings Mill Store Museum;www.hastings-mill-museum.ca?;Museum/Gallery;Museum/Gallery;1575 Alma St, Vancouver, BC, V6R 3P3;West Point Grey;City of Vancouver;2000;;Yes;"{""coordinates"": [-123.185988, 49.272817], ""type"": ""Point""}";49.272817, -123.185988
2014;Vancouver Police Museum;www.vancouverpolicemuseum.ca?;Museum/Gallery;Museum/Gallery;240 E Cordova St, Vancouver, BC, V6A 1L3;Strathcona;City of Vancouver;15392;;Yes;"{""coordinates"": [-123.0987999, 49.282247], ""type"": ""Point""}";49.282247, -123.0987999
2014;Vancouver Public Library;www.vpl.ca;Museum/Gallery;Library/Archives;350 W Georgia St, Vancouver, BC, V6B 6B1;Downtown;City of Vancouver;12000;;Yes;"{""coordinates"": [-123.1151119, 49.2804357], ""type"": ""Point""}";49.2804357, -123.1151119
2020;David Lam Park;;Community Space;Plaza/Park/Band Shell;1300 Pacific Blvd, Vancouver, BC, V6Z 2V1;Downtown;City of Vancouver;467154;;Yes;"{""coordinates"": [-123.1241736, 49.2724252], ""type"": ""Point""}";49.2724252, -123.1241736
2020;Douglas Reynolds Gallery;www.douglasreynoldsgallery.com;Museum/Gallery;Museum/Gallery;2335 Granville St, Vancouver, BC, V6H 3G4;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1385998, 49.2648423], ""type"": ""Point""}";49.2648423, -123.1385998
2020;Dynamo Arts Association;www.dynamoarts.tumblr.com?;Museum/Gallery;Museum/Gallery;30 E 6th Ave, Vancouver, BC, V5T 1J4;Mount Pleasant;Privately Owned;6000;;Yes;"{""coordinates"": [-123.1040486, 49.2653017], ""type"": ""Point""}";49.2653017, -123.1040486
2020;Grunt Gallery;www.grunt.ca?;Museum/Gallery;Museum/Gallery;350 E 2nd Av, Vancouver, BC, V5T 4R8;Mount Pleasant;Non-Profit;1350;;Yes;"{""coordinates"": [-123.09715, 49.26676], ""type"": ""Point""}";49.26676, -123.09715
2020;Il Museo;https://italianculturalcentre.ca/events/museum-art-gallery/;Museum/Gallery;Museum/Gallery;3075 Slocan St, Vancouver, BC, V5M 3E4;Renfrew-Collingwood;Non-Profit;9400;;Yes;"{""coordinates"": [-123.049576, 49.256761], ""type"": ""Point""}";49.256761, -123.049576
2020;James Tan Gallery;http://www.jamestan.com/home.htm;Museum/Gallery;Museum/Gallery;437 Columbia St, Vancouver, BC, V6A 2R9;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1023067, 49.2810853], ""type"": ""Point""}";49.2810853, -123.1023067
2020;Jericho Beach/ Vancouver Folk Music Festival;;Community Space;Plaza/Park/Band Shell;3941 Point Grey Rd., Vancouver, BC, V6R 1B5;West Point Grey;City of Vancouver;;;Yes;"{""coordinates"": [-123.1912389, 49.2711948], ""type"": ""Point""}";49.2711948, -123.1912389
2020;Kurbatoff Art Gallery Ltd;http://www.kurbatoffgallery.com/;Museum/Gallery;Museum/Gallery;2435 Granville St, Vancouver, BC, V6H 3G5;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.138751, 49.26421], ""type"": ""Point""}";49.26421, -123.138751
2020;Lattimer Gallery;www.lattimergallery.com?;Museum/Gallery;Museum/Gallery;1590 W 2nd Av, Vancouver, BC, V6J 1H2;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1406592, 49.2696829], ""type"": ""Point""}";49.2696829, -123.1406592
2020;MakerLabs;www.makerlabs.ca;Studio/Rehearsal;Workshop;780 E Cordova St, Vancouver, BC, V6A1M3;Strathcona;Privately Owned;26000;300;Yes;"{""coordinates"": [-123.087695, 49.2818014], ""type"": ""Point""}";49.2818014, -123.087695
2020;Petley Jones Gallery;www.petleyjones.com?;Museum/Gallery;Museum/Gallery;2245 Granville St, Vancouver, BC, V6H 3G1;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1408505, 49.2656002], ""type"": ""Point""}";49.2656002, -123.1408505
2020;šx????n?q Xwtl’e7én? Square;;Community Space;Plaza/Park/Band Shell;850 W Georgia St, Vancouver, BC, V6Z 2H7;Downtown;City of Vancouver;;;Yes;"{""coordinates"": [-123.119848, 49.283113], ""type"": ""Point""}";49.283113, -123.119848
2020;Wall Centre Plaza;;Community Space;Plaza/Park/Band Shell;1088 Burrard St, Vancouver, BC, V6Z 2R9;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1265368, 49.2801175], ""type"": ""Point""}";49.2801175, -123.1265368
2020;Writers' Exchange;;Studio/Rehearsal;Workshop;877 E Hastings St, Vancouver, BC, V6A 3Y1;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.0876377, 49.2812949], ""type"": ""Point""}";49.2812949, -123.0876377
2015;Ian Tan Gallery;www.iantangallery.com?;Museum/Gallery;Museum/Gallery;2202 Granville St, Vancouver, BC, V6H 4H7;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1383868, 49.2661646], ""type"": ""Point""}";49.2661646, -123.1383868
2015;Inuit Gallery of Vancouver;www.inuit.com;Museum/Gallery;Museum/Gallery;206 Cambie St, Vancouver, BC, V6B 2M9;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1088083, 49.2842455], ""type"": ""Point""}";49.2842455, -123.1088083
2015;James Black Gallery;http://www.thejamesblack.gallery/;Museum/Gallery;Museum/Gallery;144 E 6th Av, Vancouver, BC, V5T1J5;Mount Pleasant;Privately Owned;1500;15;Yes;"{""coordinates"": [-123.1019214, 49.2652632], ""type"": ""Point""}";49.2652632, -123.1019214
2015;Museum of Vancouver;www.museumofvancouver.ca?;Museum/Gallery;Museum/Gallery;1100 Chestnut St, Vancouver, BC, V6J 3J9;Kitsilano;City of Vancouver;75000;;Yes;"{""coordinates"": [-123.144897, 49.276365], ""type"": ""Point""}";49.276365, -123.144897
2015;New Leaf Editions;www.newleafeditions.com?;Studio/Rehearsal;Workshop;1370 Cartwright St, Vancouver, BC, V6H 3R7;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.134665, 49.269841], ""type"": ""Point""}";49.269841, -123.134665
2015;Petley Jones Gallery;www.petleyjones.com?;Museum/Gallery;Museum/Gallery;554 W 6th Av, Vancouver, BC, V6J 1R2;Mount Pleasant;Privately Owned;1500;;Yes;"{""coordinates"": [-123.0917358, 49.2652275], ""type"": ""Point""}";49.2652275, -123.0917358
2015;Tracey Lawrence Gallery;;Museum/Gallery;Museum/Gallery;1531 W 4th Av, Vancouver, BC, V6J 1L6;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.139461, 49.267975], ""type"": ""Point""}";49.267975, -123.139461
2015;Unit/Pitt Projects;www.helenpittgallery.org;Museum/Gallery;Museum/Gallery;236 E Pender St, Vancouver, BC, V6A 1T7;Strathcona;Privately Owned;759;;Yes;"{""coordinates"": [-123.098813, 49.280103], ""type"": ""Point""}";49.280103, -123.098813
2015;Uno Langmann Limited Fine Arts;www.langmann.com;Museum/Gallery;Museum/Gallery;2117 Granville St, Vancouver, BC, V6H 3E9;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1388698, 49.2666423], ""type"": ""Point""}";49.2666423, -123.1388698
2015;Vancouver Art Gallery Offsite;http://www.vanartgallery.bc.ca/the_exhibitions/public_art.html;Museum/Gallery;Museum/Gallery;1100 W Georgia St, Vancouver, BC, V6E 0A8;West End;City of Vancouver;34033;;Yes;"{""coordinates"": [-123.124298, 49.286205], ""type"": ""Point""}";49.286205, -123.124298
2014;Beaty Biodiversity Museum;http://www.beatymuseum.ubc.ca/about;Museum/Gallery;Museum/Gallery;2212 Main Mall, Vancouver, BC, V6T 1Z4;;Other;20000;;Yes;"{""coordinates"": [-123.251485, 49.2634318], ""type"": ""Point""}";49.2634318, -123.251485
2014;Catriona Jeffries Gallery;www.catrionajeffries.com?;Museum/Gallery;Museum/Gallery;274 E 1st Av, Vancouver, BC, V5T 1A6;Strathcona;Privately Owned;6500;;Yes;"{""coordinates"": [-123.0980394, 49.2687198], ""type"": ""Point""}";49.2687198, -123.0980394
2014;Coastal Peoples Fine Arts Gallery Gastown;http://www.coastalpeoples.com;Museum/Gallery;Museum/Gallery;312 Water St, Vancouver, BC, V6B 1B6;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.109198, 49.2843539], ""type"": ""Point""}";49.2843539, -123.109198
2014;Eagle Spirit Gallery;www.eaglespiritgallery.com;Museum/Gallery;Museum/Gallery;1803 Maritime Mews, Vancouver, BC, V6H 3W7;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.136077, 49.2710507], ""type"": ""Point""}";49.2710507, -123.136077
2014;Gallery of BC Ceramics;http://www.bcpotters.com/Gallery/index.php;Museum/Gallery;Museum/Gallery;1359 Cartwright St, Vancouver, BC, V6H 3R7;Fairview;Non-Profit;;;Yes;"{""coordinates"": [-123.134283, 49.270046], ""type"": ""Point""}";49.270046, -123.134283
2014;Hastings Mill Store Museum;www.hastings-mill-museum.ca?;Museum/Gallery;Museum/Gallery;1575 Alma St, Vancouver, BC, V6R 3P3;West Point Grey;City of Vancouver;2000;;Yes;"{""coordinates"": [-123.185988, 49.272817], ""type"": ""Point""}";49.272817, -123.185988
2014;Havana Gallery;www.havanarestaurant.ca;Museum/Gallery;Museum/Gallery;1212 Commercial Dr, Vancouver, BC, V5L 3X4;Grandview-Woodland;Privately Owned;;;Yes;"{""coordinates"": [-123.069421, 49.273662], ""type"": ""Point""}";49.273662, -123.069421
2014;Jericho Beach;;Community Space;Plaza/Park/Band Shell;3941 Point Grey Rd., Vancouver, BC, V6R 1B5;West Point Grey;City of Vancouver;250799;;Yes;"{""coordinates"": [-123.1912389, 49.2711948], ""type"": ""Point""}";49.2711948, -123.1912389
2014;Monte Clark Gallery;www.monteclarkgallery.com;Museum/Gallery;Museum/Gallery;525 Great Northern Way, Vancouver, BC, V5T 1E1;Strathcona;Privately Owned;4000;;Yes;"{""coordinates"": [-123.0921743, 49.26761], ""type"": ""Point""}";49.26761, -123.0921743
2014;Museum of Vancouver;www.museumofvancouver.ca?;Museum/Gallery;Museum/Gallery;1100 Chestnut St, Vancouver, BC, V6J 3J9;Kitsilano;City of Vancouver;75000;;Yes;"{""coordinates"": [-123.144897, 49.276365], ""type"": ""Point""}";49.276365, -123.144897
2014;On Main;www.onmaingallery.com?;Museum/Gallery;Museum/Gallery;200 E 20th Av, Vancouver, BC, V5V 1M1;Riley Park;Privately Owned;;;Yes;"{""coordinates"": [-123.10056, 49.252773], ""type"": ""Point""}";49.252773, -123.10056
2014;Petley Jones Gallery;www.petleyjones.com?;Museum/Gallery;Museum/Gallery;554 W 6th Av, Vancouver, BC, V6J 1R2;Mount Pleasant;Privately Owned;1500;;Yes;"{""coordinates"": [-123.0917358, 49.2652275], ""type"": ""Point""}";49.2652275, -123.0917358
2014;Secret Lantern Society;;Studio/Rehearsal;Workshop;328 -B Industrial Av, Vancouver, BC,;Strathcona;Privately Owned;1500;;Yes;"{""coordinates"": [-123.0965625, 49.2695868], ""type"": ""Point""}";49.2695868, -123.0965625
2014;Spirit Wrestler Gallery;www.spiritwrestler.com;Museum/Gallery;Museum/Gallery;47 Water St, Vancouver, BC, V6B 1A1;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.105348, 49.2837331], ""type"": ""Point""}";49.2837331, -123.105348
2014;Writers' Exchange;;Studio/Rehearsal;Workshop;881 E Hastings St, Vancouver, BC, V6A 1R8;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.0853822, 49.2811097], ""type"": ""Point""}";49.2811097, -123.0853822
2020;Art Beatus;www.artbeatus.com;Museum/Gallery;Museum/Gallery;808 Nelson St, Vancouver, BC, V6Z 2H2;Downtown;Privately Owned;3700;;Yes;"{""coordinates"": [-123.1249139, 49.2800409], ""type"": ""Point""}";49.2800409, -123.1249139
2014;Science World At Telus World Of Science;www.scienceworld.ca?;Museum/Gallery;Garden/Aquarium/Science Centre;1455 Quebec St, Vancouver, BC, V6A 3Z7;Downtown;Government;170000;600;Yes;"{""coordinates"": [-123.103652, 49.273743], ""type"": ""Point""}";49.273743, -123.103652
2020;Art Works Gallery;http://artworksbc.com/;Museum/Gallery;Museum/Gallery;1536 Venables St, Vancouver, BC, V5L 2G9;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.0729141, 49.2765155], ""type"": ""Point""}";49.2765155, -123.0729141
2020;Audain Gallery;https://www.sfu.ca/galleries/audain-gallery.html;Museum/Gallery;Museum/Gallery;149 W Hastings St, Vancouver, BC, V6B 1H4;Downtown;Other;;;Yes;"{""coordinates"": [-123.108715, 49.282395], ""type"": ""Point""}";49.282395, -123.108715
2020;Bloedel Conservatory;http://vancouver.ca/parks-recreation-culture/bloedel-conservatory.aspx;Museum/Gallery;Garden/Aquarium/Science Centre;4600 Cambie St, Vancouver, BC, V5Y 2M5;Riley Park;Vancouver Park Board/COV;19600;;Yes;"{""coordinates"": [-123.113759, 49.242077], ""type"": ""Point""}";49.242077, -123.113759
2020;Canadian Music Centre (BC Region)/ Vancouver New Music Society;https://musiccentrebc.ca/;Museum/Gallery;Library/Archives;837 Davie St, Vancouver, BC, V6Z 1B7;Downtown;Privately Owned;3350;;Yes;"{""coordinates"": [-123.1275105, 49.2780437], ""type"": ""Point""}";49.2780437, -123.1275105
2020;Circle Craft Co-Operative Shop & Gallery;www.circlecraft.net/;Museum/Gallery;Museum/Gallery;1-1666 Johnston St, Vancouver, BC, V6H 3S2;Fairview;Government;;;Yes;"{""coordinates"": [-123.135541, 49.272369], ""type"": ""Point""}";49.272369, -123.135541
2020;Craft Council of British Columbia Gallery;www.craftcouncilbc.ca;Museum/Gallery;Museum/Gallery;1386 Cartwright St, Vancouver, BC, V6H 3R8;Fairview;Government;1200;;Yes;"{""coordinates"": [-123.13479, 49.269837], ""type"": ""Point""}";49.269837, -123.13479
2020;Eagle Spirit Gallery;www.eaglespiritgallery.com;Museum/Gallery;Museum/Gallery;1803 Maritime Mews, Vancouver, BC, V6H 3W7;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.136077, 49.2710507], ""type"": ""Point""}";49.2710507, -123.136077
2020;Emily Carr Institute of Art + Design 1612 Gallery;;Museum/Gallery;Museum/Gallery;1612 W 3rd Av, Vancouver, BC, V6J 1K2;Fairview;Government;2833;;Yes;"{""coordinates"": [-123.1411548, 49.2688004], ""type"": ""Point""}";49.2688004, -123.1411548
2020;Jericho Beach;;Community Space;Plaza/Park/Band Shell;3941 Point Grey Rd., Vancouver, BC, V6R 1B5;West Point Grey;City of Vancouver;250799;;Yes;"{""coordinates"": [-123.1912389, 49.2711948], ""type"": ""Point""}";49.2711948, -123.1912389
2020;South Main Gallery;https://www.facebook.com/southmaingallery/;Museum/Gallery;Museum/Gallery;279 E 6th Av, Vancouver, BC, V5T 1J7;Mount Pleasant;Privately Owned;;;Yes;"{""coordinates"": [-123.1113877, 49.2666989], ""type"": ""Point""}";49.2666989, -123.1113877
2020;šx???ex?n Xwtl’a7shn at Queen Elizabeth Theatre;;Community Space;Plaza/Park/Band Shell;650 Hamilton St, Vancouver, BC, V6B 5N6;Downtown;City of Vancouver;23690;;Yes;"{""coordinates"": [-123.113393, 49.27994], ""type"": ""Point""}";49.27994, -123.113393
2016;Douglas Reynolds Gallery;www.douglasreynoldsgallery.com;Museum/Gallery;Museum/Gallery;2335 Granville St, Vancouver, BC, V6H 3G4;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1385998, 49.2648423], ""type"": ""Point""}";49.2648423, -123.1385998
2016;Gallery Jones;www.galleryjones.com?;Museum/Gallery;Museum/Gallery;1725 W 3rd Av, Vancouver, BC, V6J 1K7;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1438197, 49.2689012], ""type"": ""Point""}";49.2689012, -123.1438197
2016;UBC Museum of Anthropology;http://moa.ubc.ca/;Museum/Gallery;Museum/Gallery;6393 NW Marine Dr, Vancouver, BC, V6T 1Z2;UBC;Other;38889;;Yes;"{""coordinates"": [-123.259174, 49.26907], ""type"": ""Point""}";49.26907, -123.259174
2015;15th Field Artillery Regiment Museum and Archives;www.memorybc.ca/museum-of-15th-field-artillery-regiment;Museum/Gallery;Museum/Gallery;2025 W 11th Av, Vancouver, BC, V6J 2C7;Kitsilano;Privately Owned;;;Yes;"{""coordinates"": [-123.151123, 49.261938], ""type"": ""Point""}";49.261938, -123.151123
2015;Alliance for Arts and Culture;http://www.allianceforarts.com;Museum/Gallery;Library/Archives;938 Howe St, Vancouver, BC, V6Z 1N9;Downtown;Privately Owned;4095;30;Yes;"{""coordinates"": [-123.1228359, 49.2803099], ""type"": ""Point""}";49.2803099, -123.1228359
