name,website,type,use,address,area,ownership,Geom,geo_point_2d,latitude,longitude
BC Sports Hall of Fame Museum,www.bcsportshalloffame.com,Museum/Gallery,Museum/Gallery,"777 Pacific Blvd S, Vancouver, BC, V6B 4Y8",Downtown,Government,"{""coordinates"": [-123.110438, 49.27619], ""type"": ""Point""}","49.27619, -123.110438",49.27619,-123.110438
Granville Island,,Community Space,Plaza/Park/Band Shell,"Granville Island, Vancouver, BC",Fairview,Government,"{""coordinates"": [-123.134845, 49.269463], ""type"": ""Point""}","49.269463, -123.134845",49.269463,-123.134845
Art Emporium,http://www.theartemporium.ca,Museum/Gallery,Museum/Gallery,"2928 Granville St, Vancouver, BC, V6H 3J7",Fairview,Privately Owned,"{""coordinates"": [-123.1383072, 49.2593906], ""type"": ""Point""}","49.2593906, -123.1383072",49.2593906,-123.1383072
Colbourne House/ Marpole Museum,http://www.marpolehistorical.ca?,Museum/Gallery,Museum/Gallery,"8743 Sw Marine Dr, Vancouver, BC, V6P 6A5",Marpole,City of Vancouver,"{""coordinates"": [-123.1423354, 49.2064788], ""type"": ""Point""}","49.2064788, -123.1423354",49.2064788,-123.1423354
Grunt Gallery,www.grunt.ca?,Museum/Gallery,Museum/Gallery,"350 E 2nd Av, Vancouver, BC, V5T 4R8",Mount Pleasant,Non-Profit,"{""coordinates"": [-123.09715, 49.26676], ""type"": ""Point""}","49.26676, -123.09715",49.26676,-123.09715
Hill's Native Art,www.hillsnativeart.com,Museum/Gallery,Museum/Gallery,"165 Water St, Vancouver, BC, V6B 1A7",Downtown,Privately Owned,"{""coordinates"": [-123.1081528, 49.2844721], ""type"": ""Point""}","49.2844721, -123.1081528",49.2844721,-123.1081528
James Black Gallery,http://www.thejamesblack.gallery/,Museum/Gallery,Museum/Gallery,"144 E 6th Av, Vancouver, BC, V5T1J5",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.1019214, 49.2652632], ""type"": ""Point""}","49.2652632, -123.1019214",49.2652632,-123.1019214
Labyrinth Gallery,http://labyrinthgallery.org/,Museum/Gallery,Museum/Gallery,"112 E Hastings St, Vancouver, BC, V6A 4J1",Downtown,Privately Owned,"{""coordinates"": [-123.1017894, 49.2810651], ""type"": ""Point""}","49.2810651, -123.1017894",49.2810651,-123.1017894
Marion Scott Gallery,www.marionscottgallery.com,Museum/Gallery,Museum/Gallery,"2423 Granville St, Vancouver, BC, V6H 3G5",Fairview,Privately Owned,"{""coordinates"": [-123.1386272, 49.264079], ""type"": ""Point""}","49.264079, -123.1386272",49.264079,-123.1386272
Morris and Helen Belkin Art Gallery,http://www.belkin.ubc.ca/,Museum/Gallery,Museum/Gallery,"1825 Main Mall, Vancouver, BC, V6T 1Z2",UBC,Other,"{""coordinates"": [-123.255944, 49.2683878], ""type"": ""Point""}","49.2683878, -123.255944",49.2683878,-123.255944
Petley Jones Gallery,www.petleyjones.com?,Museum/Gallery,Museum/Gallery,"554 W 6th Av, Vancouver, BC, V6J 1R2",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.0917358, 49.2652275], ""type"": ""Point""}","49.2652275, -123.0917358",49.2652275,-123.0917358
Trillium North Park,https://trilliumnorthpark.com/,Museum/Gallery,Garden/Aquarium/Science Centre,"699 National Av, Vancouver, BC,",Strathcona,Vancouver Park Board/COV,"{""coordinates"": [-123.09379, 49.274169], ""type"": ""Point""}","49.274169, -123.09379",49.274169,-123.09379
Uno Langmann Limited Fine Arts,www.langmann.com,Museum/Gallery,Museum/Gallery,"2117 Granville St, Vancouver, BC, V6H 3E9",Fairview,Privately Owned,"{""coordinates"": [-123.1388698, 49.2666423], ""type"": ""Point""}","49.2666423, -123.1388698",49.2666423,-123.1388698
Vancity Theatre,http://www.viff.org/theatre/facility-info,Theatre/Performance,Cinema,"1181 Seymour St, Vancouver, BC, V6B 3M7",Downtown,Privately Owned,"{""coordinates"": [-123.124732, 49.276974], ""type"": ""Point""}","49.276974, -123.124732",49.276974,-123.124732
Vancouver Biennale,https://www.vancouverbiennale.com/,Museum/Gallery,Museum/Gallery,"290 W 3rd Av, Vancouver, BC, V5Y 1G1",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.110397, 49.268419], ""type"": ""Point""}","49.268419, -123.110397",49.268419,-123.110397
H.R. Macmillan Space Centre,http://www.spacecentre.ca/,Museum/Gallery,Garden/Aquarium/Science Centre,"1100 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,"{""coordinates"": [-123.144299, 49.276361], ""type"": ""Point""}","49.276361, -123.144299",49.276361,-123.144299
Museum of Vancouver,www.museumofvancouver.ca?,Museum/Gallery,Museum/Gallery,"1100 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,"{""coordinates"": [-123.144897, 49.276365], ""type"": ""Point""}","49.276365, -123.144897",49.276365,-123.144897
PNE Amphitheatre,http://www.49st.com/venue/pne-amphitheatre#info,Community Space,Plaza/Park/Band Shell,"2901 E Hastings St, Vancouver, BC, V5K 5J1",Hastings-Sunrise,City of Vancouver,"{""coordinates"": [-123.037295, 49.28416], ""type"": ""Point""}","49.28416, -123.037295",49.28416,-123.037295
Vancouver Aquarium,www.vanaqua.org?,Museum/Gallery,Garden/Aquarium/Science Centre,"845 Avison Way, Vancouver, BC, V6G 3E2",Stanley Park,City of Vancouver,"{""coordinates"": [-123.130997, 49.30067], ""type"": ""Point""}","49.30067, -123.130997",49.30067,-123.130997
Vancouver Art Gallery Offsite,http://www.vanartgallery.bc.ca/the_exhibitions/public_art.html,Museum/Gallery,Museum/Gallery,"1100 W Georgia St, Vancouver, BC, V6E 0A8",West End,City of Vancouver,"{""coordinates"": [-123.124298, 49.286205], ""type"": ""Point""}","49.286205, -123.124298",49.286205,-123.124298
Roedde House,www.roeddehouse.org,Museum/Gallery,Museum/Gallery,"1415 Barclay St, Vancouver, BC, V6G 1J6",West End,City of Vancouver,"{""coordinates"": [-123.132187, 49.286863], ""type"": ""Point""}","49.286863, -123.132187",49.286863,-123.132187
The Apartment,http://theapt.ca/filter/Exhibition,Museum/Gallery,Museum/Gallery,"119B E Pender St, Vancouver, BC, V6A 1T6",Downtown,Privately Owned,"{""coordinates"": [-123.1015866, 49.2804859], ""type"": ""Point""}","49.2804859, -123.1015866",49.2804859,-123.1015866
Van Dusen Botanical Garden,http://vandusengarden.org/,Museum/Gallery,Garden/Aquarium/Science Centre,"5251 Oak St, Vancouver, BC, V6M 4H1",Shaughnessy,City of Vancouver,"{""coordinates"": [-123.128627, 49.238472], ""type"": ""Point""}","49.238472, -123.128627",49.238472,-123.128627
Vancouver Police Museum,www.vancouverpolicemuseum.ca?,Museum/Gallery,Museum/Gallery,"240 E Cordova St, Vancouver, BC, V6A 1L3",Strathcona,City of Vancouver,"{""coordinates"": [-123.0987999, 49.282247], ""type"": ""Point""}","49.282247, -123.0987999",49.282247,-123.0987999
AHVA Gallery,http://gallery.ahva.ubc.ca/about/,Museum/Gallery,Museum/Gallery,"6398 University Blvd, Vancouver, BC,",,Other,"{""coordinates"": [-123.2549451, 49.2639124], ""type"": ""Point""}","49.2639124, -123.2549451",49.2639124,-123.2549451
Ayden Gallery,www.aydengallery.com?,Museum/Gallery,Museum/Gallery,"88 W Pender St, Vancouver, BC, V6B 6N9",Downtown,Privately Owned,"{""coordinates"": [-123.1071802, 49.2809655], ""type"": ""Point""}","49.2809655, -123.1071802",49.2809655,-123.1071802
CBC Outdoor Stage,http://www.cbc.ca,Community Space,Plaza/Park/Band Shell,"700 Hamilton, Vancouver, BC, V6B 2R5",Downtown,Government,"{""coordinates"": [-123.114669, 49.279299], ""type"": ""Point""}","49.279299, -123.114669",49.279299,-123.114669
Chali-Rosso Gallery,www.chalirosso.com,Museum/Gallery,Museum/Gallery,"2250 Granville St, Vancouver, BC, V6H 4H7",Fairview,Privately Owned,"{""coordinates"": [-123.1384021, 49.2657529], ""type"": ""Point""}","49.2657529, -123.1384021",49.2657529,-123.1384021
Crafthouse Gallery,www.craftcouncilbc.ca,Museum/Gallery,Museum/Gallery,"1386 Cartwright St, Vancouver, BC, V6H 3R8",Fairview,Government,"{""coordinates"": [-123.13479, 49.269837], ""type"": ""Point""}","49.269837, -123.13479",49.269837,-123.13479
Doctor Vigari Gallery,www.doctorvigarigallery.com,Museum/Gallery,Museum/Gallery,"1816 Commercial Dr, Vancouver, BC, V5N 4A3",Grandview-Woodland,Privately Owned,"{""coordinates"": [-123.0692806, 49.2683622], ""type"": ""Point""}","49.2683622, -123.0692806",49.2683622,-123.0692806
