parent_company,name,postal_code,address,latitude,longitude,stars_fair,stars,review_count,categories,RestaurantsReservations,RestaurantsPriceRange2,NoiseLevel,OutdoorSeating,ByAppointmentOnly,DietaryRestrictions,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Torafuku Modern Asian Eatery Inc,Torafuku,V6A 2W1,958 Main Street,49.2758949998,-123.0996111822,3.4872448979591835,3.5,191,"Japanese, Restaurants, Asian Fusion, Vietnamese",True,2.0,u'average',False,,,,11:30-17:30,11:30-22:0,11:30-22:0,11:30-22:30,11:30-22:30,
Tayo Enterprises Limited,Subway,V5N 4C1,2569 Commercial Drive,49.261673,-123.070049,2.0,1.5,10,"Restaurants, Fast Food, Sandwiches",False,1.0,u'average',False,,,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,9:0-23:0,9:0-23:0
Bon Ming Fu Wong (Bon Wong),Bon's Off Broadway,V5N 5E5,2451 Nanaimo St,49.2626943,-123.0571017,3.489754098360656,3.5,239,"Breakfast & Brunch, American (Traditional), Restaurants",False,1.0,u'loud',True,,,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,8:0-20:0,8:0-20:0
Livanas Holding Company Ltd,Helen's Grill,V5V 3P7,4102 Main Street,49.2486433,-123.1007253,3.467532467532468,3.5,72,"Greek, Breakfast & Brunch, Diners, Restaurants, Mediterranean",False,1.0,u'average',False,,,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-20:0,8:0-20:0,8:0-18:0
Zefferelli's Restaurant Ltd,Zefferelli's,V6E 1B2,1136 Robson Street,49.28502720000001,-123.126053,3.9883177570093458,4.0,423,"Food, Italian, Specialty Food, Restaurants, Bars, Nightlife",True,2.0,u'average',False,,,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,17:0-23:0,17:0-22:0
Chili Pepper Cuisine Ltd,Chili Pepper House,V5R 5J6,3003 Kingsway,49.2362803934,-123.0417118816,3.966216216216216,4.0,143,"Chinese, Restaurants, Indian, Hakka, Asian Fusion",True,2.0,u'average',False,,,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-23:0,16:0-23:0,16:0-22:30
648039 BC Ltd,Roxy Burger,V6Z 1L2,910 Granville Street,49.2801547,-123.12161609999998,3.0,3.0,76,"Burgers, Restaurants",True,2.0,'average',True,,,11:30-3:30,11:30-3:30,11:30-3:30,11:30-3:30,11:30-4:0,11:30-4:0,16:0-4:0
Baan Wasana Thai Restaurant Inc,Baan Wasana Thai Restaurant,V6M 1Z6,2143 41st Avenue W,49.2347188,-123.156672,3.458333333333333,3.5,55,"Restaurants, Thai",True,2.0,u'quiet',False,,,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
0721415 BC Ltd,Black Frog Eatery,V6B 2M8,108 Cambie Street,49.284598,-123.10868700000002,3.974874371859297,4.0,194,"Pubs, Nightlife, Bars, American (Traditional), Restaurants",True,2.0,u'average',False,,,11:30-0:0,11:30-0:0,11:30-0:0,11:30-0:0,11:30-2:0,12:0-2:0,12:0-0:0
724249 BC Ltd,Lucky Taco,V6K 3E6,1685 Yew Street,49.2710692786,-123.1551035911,3.4479166666666665,3.5,43,"Restaurants, Mexican",False,2.0,u'average',True,,,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-0:0
Brix Restaurant Inc,Brix & Mortar,V6B 2X6,1138 Homer Street,49.2756162836,-123.1218977568,3.9825174825174825,4.0,281,"Wine Bars, Nightlife, Canadian (New), American (New), French, Bars, Event Planning & Services, Restaurants, Tapas Bars, Venues & Event Spaces",True,3.0,u'average',True,,,,,16:0-21:0,16:0-21:0,16:0-22:0,16:0-22:0,16:0-21:0
Deresse Demissie Lekyelebet (Deresse Lekyelebet),Fassil Ethiopian Restaurant,V5T 1X9,736 Broadway E,49.26231668609999,-123.0883307747,4.4440298507462686,4.5,129,"Restaurants, Ethiopian",True,2.0,u'average',False,,,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0
Roundel Cafe Inc,Roundel Cafe,V5K 1Y8,2465 E Hastings Street,49.2812781,-123.0553773,3.4827586206896552,3.5,140,"Breakfast & Brunch, Vegetarian, Diners, Burgers, Cafes, Restaurants",False,2.0,u'average',False,,,9:0-16:0,9:0-16:0,9:0-16:0,9:0-16:0,9:0-16:0,9:0-16:0,9:0-16:0
CKM Investments Ltd,The Basic,V6G 2M1,948 Denman Street,49.289889,-123.1376668,3.0,3.0,59,"Breakfast & Brunch, Restaurants",False,2.0,u'average',True,,,9:0-14:0,9:0-14:0,9:0-14:0,9:0-14:0,9:0-14:0,9:0-14:0,9:0-14:0
0784018 BC Ltd,Angel Cafe,V5W 2Z6,5995 Fraser Street,49.2302225,-123.0908067,3.4725274725274726,3.5,86,"Desserts, Chinese, Restaurants, Food, Cafes, Coffee & Tea",False,2.0,u'average',False,,,8:0-23:0,8:0-23:0,8:0-23:0,8:0-23:0,8:0-23:0,8:0-23:0,8:0-23:0
I I I Int'l Investments Information & Services Co Ltd,Peaceful Restaurant,V5Z 1E9,110-532 W Broadway,49.263147,-123.116143,3.495697074010327,3.5,576,"Restaurants, Food, Noodles, Chinese",False,2.0,u'average',False,,,0:0-0:0,11:0-21:30,11:0-21:30,11:0-21:30,11:0-22:0,11:0-22:0,11:0-15:0
Huy Dinh Bui (Huy Bui),Hanoi Pho Restaurant,V6A 1P7,406 E Hastings Street,49.281101,-123.0951597,3.920634920634921,4.0,58,"Restaurants, Vegetarian, Vietnamese, Noodles",True,1.0,u'quiet',False,,,0:0-0:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,
Santouka Kamei Canada Foods Ltd,Hokkaido Ramen Santouka,V6G 1C7,1690 Robson Street,49.290236,-123.133811,3.9947589098532497,4.0,949,"Ramen, Japanese, Noodles, Restaurants",False,2.0,u'average',False,False,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
GZ Food Company Ltd,Kwong Chow Congee & Noodle House,V5T 3G8,3163 Main St,49.2570141,-123.1014822,3.4789915966386555,3.5,114,"Noodles, Restaurants, Chinese",True,2.0,u'average',False,,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-12:0,11:0-12:0,11:0-23:0
0880355 BC Ltd,Jade Dynasty Restaurant,V6A 1T6,"137 E Pender Street, Chinatown",49.280523,-123.100982,3.4833333333333334,3.5,145,"Asian Fusion, Dim Sum, Chinese, Restaurants",True,2.0,u'average',False,,,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0
Arriva Ristorante (1981) Ltd,Arriva Ristorante,V5L 3Y1,1537 Commercial Dr,49.2709212,-123.0698917,3.0,3.0,55,"Specialty Food, Food, Italian, Restaurants",True,2.0,u'loud',True,,,,,,,,,
Kwang Hee Cho & Mi Young Cho,Time Out Cafe,V6E 4P6,1150 Melville Street,49.2869717,-123.1234005,1.7692307692307692,1.0,8,"Restaurants, Cafes, Sandwiches",,,,,,,,,,,,,
C K M Investments Ltd,The Basic,V5T 3G5,3048 Main Street,49.2580108,-123.1008959,3.463768115942029,3.5,64,"Diners, Restaurants, Breakfast & Brunch",False,2.0,u'average',True,,,9:0-14:0,9:0-14:0,9:0-14:0,9:0-14:0,9:0-14:0,9:0-14:0,9:0-14:0
Farina Pizzeria Ltd,Pizzeria Farina,V6A 2V8,915 Main Street,49.276677,-123.100086,3.977064220183486,4.0,213,"Nightlife, Restaurants, Wine Bars, Pizza, Bars",False,2.0,u'average',False,,,16:0-21:0,16:0-21:0,16:0-21:0,16:0-21:0,16:0-21:0,16:0-21:0,16:0-21:0
(Cai Li),Sushi Dragon,V5Z 1G1,614 West Broadway,49.2630952,-123.1182667,3.4705882352941178,3.5,80,"Restaurants, Sushi Bars, Japanese",True,1.0,u'average',False,,,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30
Chang Li Enterprises Ltd,Osaka Sushi,V5Z 2E2,960 W King Edward Avenue,49.24852940979999,-123.1258095484,3.4545454545454546,3.5,50,"Japanese, Sushi Bars, Restaurants",True,2.0,u'loud',False,,,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,12:0-21:30
0960652 BC Ltd,Britannia Sushi,V5L 3W9,1016 Commercial Drive,49.275433,-123.0693353,3.0,3.0,51,"Sushi Bars, Japanese, Restaurants",False,1.0,u'average',True,,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
Besthope Holdings Inc,Duotian Fish Soup Noodles Restaurant,V5M 4N9,"2800 E 1st Avenue, Suite 212",49.2689449,-123.0454708,2.537313432835821,2.5,62,"Chinese, Restaurants",True,1.0,u'average',False,,,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0
Kanetamaru Holdings Inc,Yuji's From Japan,V6R 4N6,2083 Alma Street,49.26789779999999,-123.1857435,3.9,4.0,45,"Restaurants, Japanese, Tapas/Small Plates, Sushi Bars",True,2.0,u'average',False,,,,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,
0961872 BC Ltd,Kojima Sushi,V5N 4A5,1836 Commercial Dr,49.2681048,-123.0696176,3.463768115942029,3.5,64,"Food, Sushi Bars, Restaurants",False,1.0,u'average',False,,,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,12:0-21:30
XFY Broadway Hot Pot Ltd,Happy Lamb Hot Pot,V6J 1Y1,1788 W Broadway,49.2635479353,-123.1451335079,3.0,3.0,81,"Mongolian, Hot Pot, Restaurants, Chinese",True,2.0,u'average',False,False,,0:0-0:0,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30
0882787 BC Ltd,Cafe Il Nido,V6E 1V8,780 Thurlow Street,49.2846269,-123.124273,3.0,3.0,50,"Specialty Food, Wine Bars, Mediterranean, Food, Bars, Nightlife, Italian, Restaurants",True,2.0,u'quiet',True,,,17:30-22:0,17:30-22:0,17:30-22:0,17:30-22:0,17:30-22:0,17:30-22:0,
Coppersmith Enterprises Ltd,Burger King,V6G 2M6,"1030 Denman Street, Unit 126",49.2889480591,-123.1392364502,1.7678571428571428,1.5,23,"Fast Food, Burgers, Restaurants",False,1.0,u'quiet',False,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Jackalope's Dive Inc,Jackalope's Neighbourhood Dive,V5L 1V3,2257 E Hastings Street,49.2812947,-123.0589523,4.433628318584071,4.5,108,"Dive Bars, Nightlife, Restaurants, Bars, Southern, Pubs, Soul Food, Breakfast & Brunch",False,2.0,u'average',False,,,16:0-23:0,16:0-23:0,16:0-23:0,16:0-23:0,16:0-0:0,16:0-0:0,16:0-23:0
Global Pacific Import & Export Ltd,Sushi Main,V5V 3N7,3710 Main Street,49.2518619,-123.100658,3.4,3.5,20,"Sushi Bars, Restaurants",True,2.0,u'quiet',False,,,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30
1003290 BC Ltd,McKim Wonton Mein Saga,V5R 5H6,2780 Kingsway,49.2370618,-123.0483267,3.463768115942029,3.5,64,"Chinese, Noodles, Restaurants",False,2.0,u'average',False,,,11:0-20:0,,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0
Tee Pie Corp,Willow Cafe Bakery,V5Z 1S8,797 W 16th Avenue,49.2571515,-123.1217817,3.8484848484848486,4.0,28,"Restaurants, Bakeries, Food, Comfort Food, Coffee & Tea",True,2.0,,True,False,,0:0-0:0,7:0-17:30,7:0-17:30,7:0-17:30,7:0-17:30,8:0-16:30,
Jameson Collective Inc,The Mackenzie Room,V6A 1G7,415 Powell Street,49.28330089999999,-123.0949245,4.4506578947368425,4.5,147,"Diners, Canadian (New), Restaurants, Local Flavor",True,3.0,u'average',False,,,17:30-22:0,17:30-22:0,17:30-22:0,17:30-22:0,17:30-22:0,17:30-22:0,17:30-22:0
Bae & Cho Holdings Ltd,Masa Japanese Restaurant,V6H 1H4,1418 W Broadway,49.26351939999999,-123.13690590000002,3.4814814814814814,3.5,130,"Asian Fusion, Restaurants, Sushi Bars, Japanese",True,2.0,u'average',True,,,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-23:0
0979749 BC Ltd,Freshii,V5M 0C4,"2920 Virtual Way, 2920 Virtual Way, Suite 2",49.2595264758,-123.0433099036,3.0,3.0,16,"Restaurants, Vegan, Asian Fusion, Salad, Fast Food, Vegetarian, Juice Bars & Smoothies, Ice Cream & Frozen Yogurt, Food, Gluten-Free",False,2.0,u'average',True,False,,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,11:0-19:0,11:0-19:0
Templeton Holdings Inc,The Templeton,V6Z 1L4,1087 Granville Street,49.278481,-123.124598,3.989495798319328,4.0,471,"Burgers, Breakfast & Brunch, Restaurants, Diners, Tapas/Small Plates",False,2.0,u'average',False,,,8:30-15:0,8:30-22:0,8:30-22:0,8:30-22:0,8:30-23:0,8:30-23:0,8:30-22:0
0960916 BC Ltd,Mandarin Hong Kong Cafe,V5Z 2E2,948 W King Edward Avenue,49.2485292,-123.1255278,3.4444444444444446,3.5,40,"Asian Fusion, Restaurants",True,2.0,u'average',False,,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
1085281 BC Ltd,Golden Spring Restaurant,V5N 5E5,2461 Nanaimo Street,49.2625718787,-123.0569906572,3.0,3.0,6,"Restaurants, Seafood, Chinese",True,3.0,,False,,,17:0-22:0,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
0894000 BC Ltd,Railtown Cafe,V6Z 1N9,968 Howe Street,49.2800358889,-123.1235202551,3.0,3.0,22,"Sandwiches, Food, Coffee & Tea, Soup, Salad, Restaurants, Cafes",False,2.0,'average',,,,0:0-0:0,7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,11:0-16:0,
Kompass Natural Foods Limited,Waves Coffee House,V6H 1E2,1095 West Broadway,49.2636157845,-123.128756644,3.391304347826087,3.5,18,"Coffee & Tea, Food, Restaurants, Cafes",False,1.0,'average',True,,,7:30-17:0,7:30-17:0,7:30-17:0,7:30-17:0,7:30-17:0,8:0-17:0,8:0-16:0
Pereek Foods Inc,Maria's Taverna,V6K 1P1,2324 W 4th Avenue,49.2679886,-123.158081,3.469135802469136,3.5,76,"Greek, Caterers, Restaurants, Mediterranean, Pizza, Event Planning & Services",True,2.0,u'average',True,,,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0
1097130 BC Ltd,Banter Room,V6B 5P9,1039 Mainland St,49.276349200000006,-123.1197528,3.475,3.5,95,"Breakfast & Brunch, Canadian (New), Nightlife, Restaurants, Bars, Adult Entertainment",True,2.0,u'average',True,,,0:0-0:0,11:0-0:0,11:0-0:30,11:0-1:0,11:0-1:0,11:0-1:0,11:0-0:0
